"sponsor01";"sponsor02";"idboletin";"date"
"050";"075";4117;2006-03-22
"018";"038";4114;2006-03-21
"024";"044";4112;2006-03-15
"023";"051";4111;2006-03-15
"024";"044";4110;2006-03-15
"017";"044";4109;2006-03-15
"021";"062";4142;2006-04-06
"041";"092";4138;2006-04-06
"017";"119";4125;2006-03-23
"024";"062";4139;2006-04-06
"041";"065";4133;2006-04-05
"021";"092";4132;2006-04-05
"015";"052";4130;2006-04-04
"010";"058";4124;2006-03-23
"051";"106";4123;2006-03-22
"041";"076";4122;2006-03-22
"041";"076";4121;2006-03-22
"050";"108";4117;2006-03-22
"018";"081";4114;2006-03-21
"024";"058";4112;2006-03-15
"023";"075";4111;2006-03-15
"024";"050";4110;2006-03-15
"017";"050";4109;2006-03-15
"021";"075";4142;2006-04-06
"024";"072";4139;2006-04-06
"041";"109";4133;2006-04-05
"021";"097";4132;2006-04-05
"015";"054";4130;2006-04-04
"010";"065";4124;2006-03-23
"051";"120";4123;2006-03-22
"041";"096";4122;2006-03-22
"041";"096";4121;2006-03-22
"018";"084";4114;2006-03-21
"024";"066";4112;2006-03-15
"023";"076";4111;2006-03-15
"024";"066";4110;2006-03-15
"017";"058";4109;2006-03-15
"021";"085";4142;2006-04-06
"024";"076";4139;2006-04-06
"041";"118";4133;2006-04-05
"021";"099";4132;2006-04-05
"015";"076";4130;2006-04-04
"010";"075";4124;2006-03-23
"041";"106";4122;2006-03-22
"041";"106";4121;2006-03-22
"018";"102";4114;2006-03-21
"024";"088";4112;2006-03-15
"023";"106";4111;2006-03-15
"024";"085";4110;2006-03-15
"017";"066";4109;2006-03-15
"021";"096";4142;2006-04-06
"024";"096";4139;2006-04-06
"041";"119";4133;2006-04-05
"021";"110";4132;2006-04-05
"015";"108";4130;2006-04-04
"010";"106";4124;2006-03-23
"041";"120";4122;2006-03-22
"041";"120";4121;2006-03-22
"024";"096";4112;2006-03-15
"023";"118";4111;2006-03-15
"024";"096";4110;2006-03-15
"017";"108";4109;2006-03-15
"021";"106";4142;2006-04-06
"024";"120";4139;2006-04-06
"041";"120";4133;2006-04-05
"021";"116";4132;2006-04-05
"015";"113";4130;2006-04-04
"010";"120";4124;2006-03-23
"024";"108";4112;2006-03-15
"023";"120";4111;2006-03-15
"024";"108";4110;2006-03-15
"017";"119";4109;2006-03-15
"021";"120";4142;2006-04-06
"029";"039";4139;2006-04-06
"071";"083";4137;2006-04-06
"050";"051";4133;2006-04-05
"044";"064";4132;2006-04-05
"026";"043";4130;2006-04-04
"012";"016";4124;2006-03-23
"062";"076";4123;2006-03-22
"051";"062";4122;2006-03-22
"051";"062";4121;2006-03-22
"058";"116";4120;2006-03-22
"058";"072";4117;2006-03-22
"020";"025";4114;2006-03-21
"041";"043";4112;2006-03-15
"039";"041";4111;2006-03-15
"041";"043";4110;2006-03-15
"024";"041";4109;2006-03-15
"024";"041";4142;2006-04-06
"052";"068";4141;2006-04-06
"043";"069";4138;2006-04-06
"030";"095";4125;2006-03-23
"110";"002";4115;2006-03-22
"029";"041";4139;2006-04-06
"050";"064";4133;2006-04-05
"044";"084";4132;2006-04-05
"026";"044";4130;2006-04-04
"012";"041";4124;2006-03-23
"062";"096";4123;2006-03-22
"051";"075";4122;2006-03-22
"051";"075";4121;2006-03-22
"058";"075";4117;2006-03-22
"020";"038";4114;2006-03-21
"041";"044";4112;2006-03-15
"039";"051";4111;2006-03-15
"041";"044";4110;2006-03-15
"024";"044";4109;2006-03-15
"024";"062";4142;2006-04-06
"043";"092";4138;2006-04-06
"030";"119";4125;2006-03-23
"029";"062";4139;2006-04-06
"050";"065";4133;2006-04-05
"044";"092";4132;2006-04-05
"026";"052";4130;2006-04-04
"012";"058";4124;2006-03-23
"062";"106";4123;2006-03-22
"051";"076";4122;2006-03-22
"051";"076";4121;2006-03-22
"058";"108";4117;2006-03-22
"020";"081";4114;2006-03-21
"041";"058";4112;2006-03-15
"039";"075";4111;2006-03-15
"041";"050";4110;2006-03-15
"024";"050";4109;2006-03-15
"024";"075";4142;2006-04-06
"029";"072";4139;2006-04-06
"050";"109";4133;2006-04-05
"044";"097";4132;2006-04-05
"026";"054";4130;2006-04-04
"012";"065";4124;2006-03-23
"062";"120";4123;2006-03-22
"051";"096";4122;2006-03-22
"051";"096";4121;2006-03-22
"020";"084";4114;2006-03-21
"041";"066";4112;2006-03-15
"039";"076";4111;2006-03-15
"041";"066";4110;2006-03-15
"024";"058";4109;2006-03-15
"024";"085";4142;2006-04-06
"029";"076";4139;2006-04-06
"050";"118";4133;2006-04-05
"044";"099";4132;2006-04-05
"026";"076";4130;2006-04-04
"012";"075";4124;2006-03-23
"051";"106";4122;2006-03-22
"051";"106";4121;2006-03-22
"020";"102";4114;2006-03-21
"041";"088";4112;2006-03-15
"039";"106";4111;2006-03-15
"041";"085";4110;2006-03-15
"024";"066";4109;2006-03-15
"024";"096";4142;2006-04-06
"029";"096";4139;2006-04-06
"050";"119";4133;2006-04-05
"044";"110";4132;2006-04-05
"026";"108";4130;2006-04-04
"012";"106";4124;2006-03-23
"051";"120";4122;2006-03-22
"051";"120";4121;2006-03-22
"041";"096";4112;2006-03-15
"039";"118";4111;2006-03-15
"041";"096";4110;2006-03-15
"024";"108";4109;2006-03-15
"024";"106";4142;2006-04-06
"029";"120";4139;2006-04-06
"050";"120";4133;2006-04-05
"044";"116";4132;2006-04-05
"026";"113";4130;2006-04-04
"012";"120";4124;2006-03-23
"041";"108";4112;2006-03-15
"039";"120";4111;2006-03-15
"041";"108";4110;2006-03-15
"024";"119";4109;2006-03-15
"024";"120";4142;2006-04-06
"039";"041";4139;2006-04-06
"051";"064";4133;2006-04-05
"064";"084";4132;2006-04-05
"043";"044";4130;2006-04-04
"016";"041";4124;2006-03-23
"076";"096";4123;2006-03-22
